ID,ServiceName,ServiceType,Suburb,Postcode,Size,OverallRating,Long Day Care,Preschool/Kinder - Part of a School,Preschool/Kinder - Standalone,After School Care,Before School Care,Vacation Care,Temporarily Closed,Cost Per Day
2433,Flowerdale Kindergarten,Centre-Based Care,FLOWERDALE,3717,41,Meeting NQS,No,Yes,No,No,No,No,No,190
2434,"Camp Australia - St John's Primary School, Mitcham OSHC",Centre-Based Care,MITCHAM,3132,30,Meeting NQS,No,No,No,Yes,Yes,No,No,114
2435,Camp Australia - Ocean Grove Primary School OSHC,Centre-Based Care,OCEAN GROVE,3226,102,Meeting NQS,No,No,No,Yes,Yes,Yes,No,90
2436,St Kilda Park PS TheirCare,Centre-Based Care,ST KILDA,3182,65,Meeting NQS,No,No,No,Yes,Yes,No,No,137
2437,Glenrowan Primary School OSHC,Centre-Based Care,GLENROWAN,3675,15,Meeting NQS,No,No,No,Yes,No,Yes,No,140
2438,Indigo North Health Rutherglen OSHC,Centre-Based Care,RUTHERGLEN,3685,35,Meeting NQS,No,No,No,Yes,Yes,Yes,No,176
2439,St Bernard's Out of School Hours Care,Centre-Based Care,COBURG EAST,3058,55,Meeting NQS,No,No,No,Yes,Yes,Yes,No,189
2440,Eltham OSHClub,Centre-Based Care,ELTHAM,3095,67,Meeting NQS,No,No,No,Yes,Yes,No,No,130
2441,Preston Primary School OSHC,Centre-Based Care,PRESTON,3072,150,Meeting NQS,No,No,No,Yes,Yes,No,No,199
2442,Camp Australia - Findon Primary School OSHC,Centre-Based Care,MILL PARK,3082,45,Meeting NQS,No,No,No,Yes,Yes,No,No,88
2443,Camp Australia - Plenty Parklands Primary School OSHC,Centre-Based Care,MILL PARK,3082,70,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,147
2444,Camp Australia - Epping Primary School OSHC,Centre-Based Care,EPPING,3076,35,Meeting NQS,No,No,No,Yes,Yes,No,No,51
2445,Lalor East PS TheirCare,Centre-Based Care,LALOR,3075,16,Meeting NQS,No,No,No,Yes,Yes,No,No,199
2446,Elysium OSHC - Kananook,Centre-Based Care,SEAFORD,3198,45,Working Towards NQS,No,No,No,Yes,Yes,No,No,172
2447,Corpus Christi PS OSHC - Extend,Centre-Based Care,GLENROY,3046,24,Meeting NQS,No,No,No,Yes,Yes,No,No,134
2448,Team Holiday - Black Rock,Centre-Based Care,BLACK ROCK,3193,45,Meeting NQS,No,No,No,No,No,Yes,No,130
2449,Camp Australia - Woodleigh Primary School OSHC,Centre-Based Care,FRANKSTON,3199,21,Working Towards NQS,No,No,No,Yes,Yes,No,No,109
2450,Weeden Heights Primary School OSHC,Centre-Based Care,VERMONT SOUTH,3133,30,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,64
2451,TeamKids - Old Orchard Primary,Centre-Based Care,BLACKBURN NORTH,3130,70,Meeting NQS,No,No,No,Yes,Yes,No,No,54
2452,Leopold Primary Outside School Hours Care Program,Centre-Based Care,LEOPOLD,3224,90,Working Towards NQS,No,No,No,Yes,Yes,No,No,67
2453,Geelong and  District YMCA Vacation Care,Centre-Based Care,NEWTOWN,3220,135,Meeting NQS,No,No,No,No,No,Yes,No,190
2454,Panton Hill PS TheirCare,Centre-Based Care,PANTON HILL,3759,20,Working Towards NQS,No,No,No,Yes,Yes,No,No,181
2455,North East Family Day Care,Family Day Care,WANGARATTA,3677,,Working Towards NQS,No,No,No,No,No,No,No,52
2456,Anakie Primary Out of School Care,Centre-Based Care,ANAKIE,3213,15,Meeting NQS,No,No,No,Yes,Yes,No,No,200
2457,Brunswick East Primary School OSHC Service,Centre-Based Care,BRUNSWICK EAST,3057,136,Meeting NQS,No,No,No,Yes,Yes,Yes,No,158
2458,Macedon Primary School Combined OSHC,Centre-Based Care,MACEDON,3440,30,Meeting NQS,No,No,No,Yes,Yes,No,No,57
2459,Brunswick North West Primary School OSHC,Centre-Based Care,BRUNSWICK WEST,3055,160,Exceeding NQS,No,No,No,Yes,Yes,No,No,115
2460,Camp Australia - St Fidelis Primary School OSHC,Centre-Based Care,COBURG,3058,60,Meeting NQS,No,No,No,Yes,Yes,No,No,85
2461,Camp Australia - Pascoe Vale South Primary School OSHC,Centre-Based Care,PASCOE VALE,3044,90,Meeting NQS,No,No,No,Yes,Yes,Yes,No,55
2462,Beechworth PS TheirCare,Centre-Based Care,BEECHWORTH,3747,50,Meeting NQS,No,No,No,Yes,Yes,Yes,No,102
2463,Camp Australia - Brunswick South West Primary School OSHC,Centre-Based Care,BRUNSWICK WEST,3055,99,Meeting NQS,No,No,No,Yes,Yes,No,No,76
2464,Kidz Bizz Oxley Primary School OSHC,Centre-Based Care,OXLEY,3678,30,Meeting NQS,No,No,No,Yes,No,Yes,No,141
2465,Yackandandah Primary School Outside School Hours Care,Centre-Based Care,YACKANDANDAH,3749,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,141
2466,St Thomas More's OSHClub,Centre-Based Care,HADFIELD,3046,60,Meeting NQS,No,No,No,Yes,Yes,No,No,181
2467,Wodonga Catholic Parish OSHC - St Monica's,Centre-Based Care,WODONGA,3690,90,Meeting NQS,No,No,No,Yes,No,Yes,No,77
2468,Warekila Preschool,Centre-Based Care,NUNAWADING,3131,33,Meeting NQS,No,No,Yes,No,No,No,No,177
2469,TeamKids - Solway Primary,Centre-Based Care,ASHBURTON,3147,100,Meeting NQS,No,No,No,Yes,Yes,Yes,No,183
2470,Montrose Preschool,Centre-Based Care,MONTROSE,3765,22,Working Towards NQS,No,No,Yes,No,No,No,No,112
2471,Camp Australia - Little River Primary School OSHC,Centre-Based Care,LITTLE RIVER,3211,60,Meeting NQS,No,No,No,Yes,No,No,No,111
2472,Camp Australia - St Christopher's Primary School Syndal OSHC,Centre-Based Care,SYNDAL,3149,50,Meeting NQS,No,No,No,Yes,Yes,No,No,185
2473,Forrest Learning Centre,Centre-Based Care,FORREST,3236,20,Working Towards NQS,Yes,Yes,No,Yes,No,Yes,No,195
2474,Community OSHC Services St Martin de Porres,Centre-Based Care,AVONDALE HEIGHTS,3034,60,Meeting NQS,No,No,No,Yes,No,Yes,No,93
2475,Camp Australia - Mount Ridley College OSHC,Centre-Based Care,CRAIGIEBURN,3064,80,Meeting NQS,No,No,No,Yes,Yes,No,No,63
2476,"Melbourne Grammar School, Grimwade House",Centre-Based Care,CAULFIELD,3162,112,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,61
2477,Camp Australia - St Michael's Primary School Berwick OSHC,Centre-Based Care,BERWICK,3806,54,Meeting NQS,No,No,No,Yes,Yes,No,No,112
2478,TeamKids - Mount Waverley North Primary,Centre-Based Care,MOUNT WAVERLEY,3149,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,89
2479,Kiewa Valley Primary School Combined Out of School Hour Care,Centre-Based Care,TANGAMBALANGA,3691,45,Meeting NQS,No,No,No,Yes,Yes,No,No,80
2480,Wonga Park PS TheirCare,Centre-Based Care,WONGA PARK,3115,38,Exceeding NQS,No,No,No,Yes,Yes,No,No,193
2481,Cockatoo Primary School Council OSHC,Centre-Based Care,COCKATOO,3781,35,Meeting NQS,No,No,No,Yes,Yes,No,No,108
2482,Belmont Vacation Care,Centre-Based Care,CROYDON SOUTH,3136,43,Exceeding NQS,No,No,No,No,No,Yes,No,53
2483,Kew East Primary School Out of School Hours Care,Centre-Based Care,KEW EAST,3102,90,Working Towards NQS,No,No,No,Yes,Yes,No,No,103
2484,Camp Australia - Roxburgh Rise Primary School OSHC,Centre-Based Care,ROXBURGH PARK,3064,45,Meeting NQS,No,No,No,Yes,Yes,No,No,84
2485,Ruskin Park Primary School Combined OSHC Program,Centre-Based Care,CROYDON,3136,85,Meeting NQS,No,No,No,Yes,Yes,No,No,176
2486,Camp Australia - Lumen Christi Catholic School OSHC,Centre-Based Care,POINT COOK,3030,90,Meeting NQS,No,No,No,Yes,Yes,No,No,91
2487,Camp Australia - Fyans Park Primary School OSHC,Centre-Based Care,NEWTOWN,3220,63,Meeting NQS,No,No,No,Yes,Yes,No,No,127
2488,Bayswater West Primary School Combined OSHC,Centre-Based Care,BAYSWATER,3153,40,Meeting NQS,No,No,No,Yes,Yes,No,No,100
2489,Clarinda Primary School Out of School Hours Care,Centre-Based Care,CLAYTON SOUTH,3169,49,Meeting NQS,No,No,No,Yes,Yes,No,No,133
2490,Glen Eira Family Day Care,Family Day Care,CAULFIELD SOUTH,3162,,Exceeding NQS,No,No,No,No,No,No,No,84
2491,St Mary's Child Care Service,Centre-Based Care,HASTINGS,3915,45,Meeting NQS,No,No,No,Yes,Yes,No,No,56
2492,Camp Australia - Kilberry Valley Primary School OSHC,Centre-Based Care,HAMPTON PARK,3976,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,78
2493,Whitfield District Primary School - OSHC,Centre-Based Care,WHITFIELD,3733,40,Meeting NQS,No,No,No,Yes,No,Yes,No,133
2494,Ararat 800 OSHC and Vacation Care,Centre-Based Care,ARARAT,3377,30,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,172
2495,Rowellyn Park Primary School OSHC,Centre-Based Care,CARRUM DOWNS,3201,120,Meeting NQS,No,No,No,Yes,Yes,Yes,No,172
2496,Armadale Primary School OOSHC,Centre-Based Care,ARMADALE,3143,130,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,104
2497,Moreland Family Day Care,Family Day Care,COBURG,3058,,Exceeding NQS,No,No,No,No,No,No,No,139
2498,Sunbury PS TheirCare,Centre-Based Care,SUNBURY,3429,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,150
2499,Greythorn PS TheirCare,Centre-Based Care,BALWYN NORTH,3104,66,Meeting NQS,No,No,No,Yes,Yes,Yes,No,158
2500,Camp Australia - Flemington Primary School OSHC,Centre-Based Care,FLEMINGTON,3031,105,Meeting NQS,No,No,No,Yes,Yes,Yes,No,58
2501,Chilwell Outside School Hours Care,Centre-Based Care,NEWTOWN,3220,58,Working Towards NQS,No,No,No,Yes,Yes,No,No,170
2502,Carlton Gardens OSHClub,Centre-Based Care,CARLTON,3053,90,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,91
2503,Billanook Primary School OSHC,Centre-Based Care,MONTROSE,3765,61,Meeting NQS,No,No,No,Yes,Yes,No,No,51
2504,Research Primary OSHClub,Centre-Based Care,RESEARCH,3095,35,Meeting NQS,No,No,No,Yes,Yes,No,No,154
2505,Brunswick East School Holiday Program,Centre-Based Care,BRUNSWICK EAST,3057,60,Meeting NQS,No,No,No,No,No,Yes,No,148
2506,Lake Boga Preschool,Centre-Based Care,LAKE BOGA,3584,33,Working Towards NQS,No,No,Yes,No,No,No,No,112
2507,Kallista Primary School OSHC,Centre-Based Care,KALLISTA,3791,40,Meeting NQS,No,No,No,Yes,Yes,No,No,107
2508,Camp Australia - Norris Bank Primary School OSHC,Centre-Based Care,BUNDOORA,3083,33,Meeting NQS,No,No,No,Yes,Yes,No,No,67
2509,Lalor Primary Combined OSHC,Centre-Based Care,LALOR,3075,45,Meeting NQS,No,No,No,Yes,Yes,No,No,118
2510,St Damian's PS Bundoora TheirCare,Centre-Based Care,BUNDOORA,3083,49,Meeting NQS,No,No,No,Yes,Yes,Yes,No,113
2511,Essex Heights Primary School Before and After School Care Program,Centre-Based Care,MOUNT WAVERLEY,3149,105,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,58
2512,Victoria Road OSHClub,Centre-Based Care,LILYDALE,3140,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,117
2513,COLDSTREAM PRIMARY SCHOOL OSHC,Centre-Based Care,COLDSTREAM,3770,30,Meeting NQS,No,No,No,Yes,Yes,No,No,93
2514,Karoo Primary School OSHC,Centre-Based Care,ROWVILLE,3178,90,Meeting NQS,No,No,No,Yes,Yes,No,No,151
2515,OSHCLUB Laburnum,Centre-Based Care,BLACKBURN,3130,105,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,101
2516,School of the Good Shepherd OSHC - Extend,Centre-Based Care,GLADSTONE PARK,3043,60,Meeting NQS,No,No,No,Yes,Yes,No,No,152
2517,St Carlo Borromeo OSHClub,Centre-Based Care,GREENVALE,3059,60,Meeting NQS,No,No,No,Yes,Yes,No,No,95
2518,Glen Waverley South Primary School  OSHC Program,Centre-Based Care,GLEN WAVERLEY,3150,55,Meeting NQS,No,No,No,Yes,Yes,No,No,99
2519,Complete Kids OSHC Sunbury West,Centre-Based Care,SUNBURY,3429,90,Meeting NQS,No,No,No,Yes,Yes,No,No,77
2520,Wheeler's Hill Primary School OSHC,Centre-Based Care,WHEELERS HILL,3150,130,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,187
2521,Greenvale PS TheirCare,Centre-Based Care,GREENVALE,3059,60,Meeting NQS,No,No,No,Yes,Yes,No,No,167
2522,Cire Outside School Hours Care Woori Yallock,Centre-Based Care,WOORI YALLOCK,3139,45,Meeting NQS,No,No,No,Yes,Yes,Yes,No,173
2523,Pascoe Vale Primary School OSHC,Centre-Based Care,PASCOE VALE,3044,135,Working Towards NQS,No,No,No,Yes,Yes,No,No,158
2524,Camp Australia - Caledonian Primary School OSHC,Centre-Based Care,BROWN HILL,3350,30,Working Towards NQS,No,No,No,Yes,Yes,No,No,199
2525,Camp Australia - Chirnside Park Primary School OSHC,Centre-Based Care,CHIRNSIDE PARK,3116,45,Meeting NQS,No,No,No,Yes,Yes,Yes,No,181
2526,St John's OSHClub,Centre-Based Care,HEIDELBERG,3084,60,Meeting NQS,No,No,No,Yes,Yes,No,No,73
2527,Our Lady Help of Christians PS OSHC - Extend,Centre-Based Care,BRUNSWICK EAST,3057,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,177
2528,Seedlings@Whitehorse Kindergarten and Whitehorse Primary School Combined OSHC,Centre-Based Care,BLACKBURN NORTH,3130,100,Meeting NQS,No,Yes,No,Yes,Yes,No,No,84
2529,St Anthony's Alphington OSHClub,Centre-Based Care,ALPHINGTON,3078,45,Exceeding NQS,No,No,No,Yes,Yes,No,No,170
2530,Kids Community Family Day Care,Family Day Care,MICKLEHAM,3064,,Working Towards NQS,No,No,No,No,No,No,No,172
2531,Don Valley Primary School OSHC,Centre-Based Care,DON VALLEY,3139,15,Meeting NQS,No,No,No,Yes,Yes,No,No,68
2532,Plenty Valley Montessori School OSHC,Centre-Based Care,DIAMOND CREEK,3089,28,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,116
2533,St Clare's PS OSHC - Extend,Centre-Based Care,THOMASTOWN,3074,24,Meeting NQS,No,No,No,Yes,Yes,No,No,69
2534,Camp Australia - St Joseph's Primary School - Mernda OSHC,Centre-Based Care,MERNDA,3754,45,Exceeding NQS,No,No,No,Yes,Yes,No,No,87
2535,Camp Australia - Clifton Hill Primary School OSHC,Centre-Based Care,CLIFTON HILL,3068,120,Meeting NQS,No,No,No,Yes,Yes,Yes,No,144
2536,TeamKids - Holy Rosary Kensington,Centre-Based Care,KENSINGTON,3031,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,143
2537,St Margarets OSHC,Centre-Based Care,MARIBYRNONG,3032,48,Meeting NQS,No,No,No,Yes,Yes,No,No,63
2538,Laurimar Primary Outside School Hours Care,Centre-Based Care,DOREEN,3754,150,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,76
2539,Porepunkah Primary School Outside School Hours Care Service,Centre-Based Care,POREPUNKAH,3740,40,Meeting NQS,No,No,No,Yes,No,No,No,166
2540,Manchester Primary School OSHC,Centre-Based Care,MOOROOLBARK,3138,60,Working Towards NQS,No,No,No,Yes,Yes,No,No,75
2541,Camp Australia - Tullamarine Primary School OSHC,Centre-Based Care,TULLAMARINE,3043,80,Meeting NQS,No,No,No,Yes,Yes,Yes,No,115
2542,Camp Australia - Montmorency South Primary School OSHC,Centre-Based Care,MONTMORENCY,3094,90,Meeting NQS,No,No,No,Yes,Yes,Yes,No,81
2543,Andersons Creek PS TheirCare,Centre-Based Care,WARRANDYTE,3113,55,Meeting NQS,No,No,No,Yes,Yes,Yes,No,72
2544,Preston West Primary School BASCP,Centre-Based Care,PRESTON,3072,195,Meeting NQS,No,No,No,Yes,Yes,No,No,180
2545,Fitzroy North Primary School OSHC,Centre-Based Care,FITZROY NORTH,3068,220,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,50
2546,St Patrick's Parish (Wangaratta) After School Care Service,Centre-Based Care,WANGARATTA,3677,60,Working Towards NQS,No,No,No,Yes,No,Yes,No,84
2547,Willmott Park P.S. Out of School Hours Care,Centre-Based Care,CRAIGIEBURN,3064,90,Exceeding NQS,No,No,No,Yes,Yes,No,No,135
2548,Billanook College - Early Learning Program,Centre-Based Care,MOOROOLBARK,3138,44,Meeting NQS,No,Yes,No,No,No,No,No,132
2549,H E Kane Memorial Kindergarten,Centre-Based Care,HADFIELD,3046,60,Meeting NQS,No,No,Yes,No,No,No,No,192
2550,Camp Australia - Montmorency Primary School OSHC,Centre-Based Care,MONTMORENCY,3094,75,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,106
2551,Only About Children South Melbourne,Centre-Based Care,SOUTH MELBOURNE,3205,90,Exceeding NQS,Yes,No,No,No,No,No,No,180
2552,Yarrambat Primary Out of School Hours Care,Centre-Based Care,YARRAMBAT,3091,90,Working Towards NQS,No,No,No,Yes,Yes,No,No,96
2553,Albany Rise Primary School OSHClub,Centre-Based Care,MULGRAVE,3170,60,Meeting NQS,No,No,No,Yes,Yes,No,No,92
2554,Camp Australia - Abbotsford Primary School OSHC,Centre-Based Care,ABBOTSFORD,3067,40,Meeting NQS,No,No,No,Yes,No,No,No,128
2555,BYK KIDS,Centre-Based Care,FERNTREE GULLY,3156,60,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,67
2556,Specimen Hill Primary Combined OSHC,Centre-Based Care,GOLDEN SQUARE,3555,45,Working Towards NQS,No,No,No,Yes,Yes,No,No,64
2557,Rolling Hills Primary School OSHC,Centre-Based Care,MOOROOLBARK,3138,60,Meeting NQS,No,No,No,Yes,Yes,No,No,130
2558,Princes Hill Primary School OSHC,Centre-Based Care,CARLTON NORTH,3054,120,Exceeding NQS,No,No,No,Yes,Yes,No,No,65
2559,Camp Australia - Sacred Heart Primary School - Croydon OSHC,Centre-Based Care,CROYDON,3136,60,Meeting NQS,No,No,No,Yes,Yes,No,No,119
2560,Wodonga PS TheirCare,Centre-Based Care,WODONGA,3690,110,Meeting NQS,No,No,No,Yes,Yes,Yes,No,167
2561,The Grove Children's Centre,Centre-Based Care,COBURG,3058,100,Meeting NQS,Yes,No,No,No,No,No,No,181
2562,Wantirna South Primary School Out of School Hours Care,Centre-Based Care,WANTIRNA SOUTH,3152,55,Working Towards NQS,No,No,No,No,No,Yes,No,153
2563,Camp Australia - St Patrick's School Lilydale OSHC,Centre-Based Care,LILYDALE,3140,60,Meeting NQS,No,No,No,Yes,Yes,No,No,101
2564,St Luke's Parish School Age Child Care Program,Centre-Based Care,WANTIRNA,3152,90,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,172
2565,After The Bell Aus- Gladesville PS,Centre-Based Care,KILSYTH,3137,68,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,60
2566,Camp Australia - Stella Maris Catholic Primary School OSHC,Centre-Based Care,POINT COOK,3030,100,Meeting NQS,No,No,No,Yes,Yes,No,No,161
2567,Camp Australia - Altona Meadows Primary School OSHC,Centre-Based Care,ALTONA MEADOWS,3028,64,Meeting NQS,No,No,No,Yes,Yes,No,No,114
2568,Menzies Creek PS TheirCare,Centre-Based Care,MENZIES CREEK,3159,30,Exceeding NQS,No,No,No,Yes,Yes,No,No,137
2569,Springvale Rise PS TheirCare,Centre-Based Care,SPRINGVALE,3171,35,Meeting NQS,No,No,No,Yes,No,Yes,No,175
2570,Cana Catholic Primary OSHClub,Centre-Based Care,HILLSIDE,3037,30,Meeting NQS,No,No,No,Yes,Yes,No,No,101
2571,Carrington Primary School OSHC,Centre-Based Care,KNOXFIELD,3180,30,Meeting NQS,No,No,No,Yes,Yes,No,No,107
2572,Ripponlea PS TheirCare,Centre-Based Care,ST KILDA EAST,3183,65,Meeting NQS,No,No,No,Yes,Yes,No,No,116
2573,Windermere Child and Family Services Inc,Centre-Based Care,CARDINIA,3978,30,Meeting NQS,No,No,No,Yes,No,Yes,No,184
2574,Camp Australia - Tyabb Primary School OSHC,Centre-Based Care,TYABB,3913,40,Meeting NQS,No,No,No,Yes,Yes,No,No,81
2575,Kingsbury Primary School OSH Care Program,Centre-Based Care,KINGSBURY,3083,60,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,118
2576,Camp Australia - Cheltenham Primary School OSHC,Centre-Based Care,CHELTENHAM,3192,98,Meeting NQS,No,No,No,Yes,Yes,No,No,63
2577,Camp Australia - East Bentleigh Primary School OSHC,Centre-Based Care,BENTLEIGH EAST,3165,60,Meeting NQS,No,No,No,Yes,Yes,No,No,118
2578,YMCA Leisure City – Children’s Services Programs,Centre-Based Care,EPPING,3076,80,Working Towards NQS,No,No,No,No,No,Yes,No,57
2579,Camp Australia - St John's Primary School OSHC,Centre-Based Care,CLIFTON HILL,3068,35,Meeting NQS,No,No,No,Yes,No,No,No,71
2580,Kilvington Girls Grammar OSHC - Extend,Centre-Based Care,ORMOND,3204,65,Meeting NQS,No,No,No,Yes,No,Yes,No,130
2581,The Patch OSHClub,Centre-Based Care,THE PATCH,3792,45,Meeting NQS,No,No,No,Yes,Yes,Yes,No,76
2582,Marong Primary School Outside School Hours Care,Centre-Based Care,MARONG,3515,25,Working Towards NQS,No,No,No,Yes,Yes,No,No,162
2583,Mount Alexander FDC,Family Day Care,CASTLEMAINE,3450,,Working Towards NQS,No,No,No,No,No,No,No,144
2584,Yeshivah Beth Rivkah OSHC,Centre-Based Care,ST KILDA EAST,3183,400,Exceeding NQS,No,No,No,Yes,No,Yes,No,96
2585,Team Holiday - Middle Park Primary,Centre-Based Care,MIDDLE PARK,3206,130,Meeting NQS,No,No,No,Yes,Yes,Yes,No,99
2586,Brighton Beach PS TheirCare,Centre-Based Care,BRIGHTON,3186,78,Meeting NQS,No,No,No,Yes,Yes,No,No,74
2587,Berwick Primary School O.S.H.C,Centre-Based Care,BERWICK,3806,200,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,95
2588,Camp Australia - Chandler Park Primary School OSHC,Centre-Based Care,KEYSBOROUGH,3173,96,Meeting NQS,No,No,No,Yes,Yes,Yes,No,129
2589,Beaumaris North Primary School Outside School Hours Care,Centre-Based Care,BEAUMARIS,3193,120,Exceeding NQS,No,No,No,Yes,Yes,No,No,108
2590,Benton Junior College - Benton Childcare Club,Centre-Based Care,MORNINGTON,3931,120,Meeting NQS,No,No,No,Yes,Yes,No,No,151
2591,Glen Huntly PS TheirCare,Centre-Based Care,GLEN HUNTLY,3163,70,Meeting NQS,No,No,No,Yes,Yes,Yes,No,188
2592,Camp Australia - Geelong East Primary School OSHC,Centre-Based Care,EAST GEELONG,3219,59,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,86
2593,Watsonia Heights PS TheirCare,Centre-Based Care,GREENSBOROUGH,3088,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,197
2594,Hampton Park Community House O.S.H,Centre-Based Care,HAMPTON PARK,3976,59,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,132
2595,Murrumbeena Out School Hours Care,Centre-Based Care,MURRUMBEENA,3163,90,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,191
2596,Moyhu Primary School Outside School Hours Care,Centre-Based Care,MOYHU,3732,15,Meeting NQS,No,No,No,Yes,No,Yes,No,186
2597,Westgate Sports & Leisure Centre,Centre-Based Care,ALTONA NORTH,3025,60,Working Towards NQS,No,No,No,No,No,Yes,No,52
2598,St Mary's Hampton TheirCare,Centre-Based Care,HAMPTON,3188,35,Meeting NQS,No,No,No,Yes,No,No,No,158
2599,St Mary's St Kilda TheirCare,Centre-Based Care,ST KILDA EAST,3183,64,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,76
2600,Thomastown East Primary School OSHC,Centre-Based Care,THOMASTOWN,3074,60,Working Towards NQS,No,No,No,Yes,Yes,No,No,137
2601,Big Childcare - Wembley PS OSHC,Centre-Based Care,YARRAVILLE,3013,195,Exceeding NQS,No,No,No,Yes,Yes,No,No,193
2602,Timbarra P- 9 College Combined OSHC,Centre-Based Care,BERWICK,3806,60,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,68
2603,Emerald Out of School Hours Care Service,Centre-Based Care,EMERALD,3782,56,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,54
2604,Camp Australia - Ainslie Parklands Primary School OSHC,Centre-Based Care,CROYDON,3136,30,Working Towards NQS,No,No,No,Yes,Yes,No,No,60
2605,St Peter's Primary School Epping OSHC - Extend,Centre-Based Care,EPPING,3076,45,Meeting NQS,No,No,No,Yes,Yes,No,No,71
2606,Croydon Hills Primary School OSHC Program,Centre-Based Care,CROYDON HILLS,3136,150,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,164
2607,Altona College OSHC - Extend,Centre-Based Care,ALTONA,3018,30,Meeting NQS,No,No,No,Yes,Yes,No,No,59
2608,Camp Australia - Seaford North Primary School OSHC,Centre-Based Care,SEAFORD,3198,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,67
2609,Kids on the Rise,Centre-Based Care,POINT COOK,3030,137,Meeting NQS,Yes,No,No,No,No,No,No,184
2610,Somers Primary School OSHC Program – BSC/ASC,Centre-Based Care,SOMERS,3927,30,Working Towards NQS,No,No,No,Yes,Yes,No,No,80
2611,Mornington Primary School OSHC,Centre-Based Care,MORNINGTON,3931,45,Meeting NQS,No,No,No,Yes,Yes,No,No,180
2612,Team Holiday - Elsternwick,Centre-Based Care,ELSTERNWICK,3185,82,Exceeding NQS,No,No,No,No,No,Yes,No,172
2613,Heatherton Christian College Outside School Hours Program,Centre-Based Care,CLARINDA,3169,30,Working Towards NQS,No,No,No,Yes,Yes,No,No,93
2614,Big Childcare - Banyan Fields PS OSHC,Centre-Based Care,CARRUM DOWNS,3201,105,Meeting NQS,No,No,No,Yes,Yes,Yes,No,136
2615,Camp Australia - Kilsyth Primary School OSHC,Centre-Based Care,KILSYTH,3137,45,Meeting NQS,No,No,No,Yes,Yes,No,No,56
2616,Brighton Recreational Centre,Centre-Based Care,BRIGHTON,3186,90,Meeting NQS,No,No,No,No,No,Yes,Yes,95
2617,Teesdale Primary School Combined OSHC,Centre-Based Care,TEESDALE,3328,30,Working Towards NQS,No,No,No,Yes,Yes,No,No,174
2618,After The Bell Aus- Tatura PS,Centre-Based Care,TATURA,3616,45,Meeting NQS,No,No,No,Yes,Yes,No,No,120
2619,Camp Australia - Caulfield Primary OSHC,Centre-Based Care,CAULFIELD SOUTH,3162,75,Meeting NQS,No,No,No,Yes,Yes,No,No,129
2620,Syndal South Primary School Out of School Hours Care,Centre-Based Care,MOUNT WAVERLEY,3149,75,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,91
2621,St Francis De Sales OSHClub,Centre-Based Care,OAK PARK,3046,60,Meeting NQS,No,No,No,Yes,Yes,No,No,108
2622,Bacchus Marsh OSHClub,Centre-Based Care,BACCHUS MARSH,3340,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,70
2623,Wantirna Kinder Haven,Centre-Based Care,WANTIRNA SOUTH,3152,65,Meeting NQS,Yes,No,No,No,No,No,No,116
2624,Nido Early School Port Melbourne,Centre-Based Care,PORT MELBOURNE,3207,122,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No,115
2625,Myrniong Primary School Outside School Hours Care,Centre-Based Care,MYRNIONG,3341,30,Meeting NQS,No,No,No,Yes,Yes,No,No,162
2626,Moreland PS OSHC - Extend,Centre-Based Care,COBURG,3058,60,Exceeding NQS,No,No,No,Yes,Yes,No,No,176
